usuarios,tps_promedio
1,35.23610530714584
2,40.69038181726958
3,43.14007560804256
4,44.91448843669467
5,45.2880675641776
6,44.09058977018031
7,47.435854547887466
8,46.19424328076132
9,46.61470529203185
10,47.829286239882265
11,46.46028799357784
12,41.36212346752747
13,46.95975356592781
14,47.717009533366785
15,47.15403651929637
16,47.218553012189204
17,48.0187259655576
18,49.498159919705586
19,49.13749790654832
20,48.354341149024016
21,51.27990770619807
22,47.70586956158105
23,50.15888944639572
24,49.54750751355799
25,49.50081107747881
