Usuarios,TPS,P95 Latency (ms),Error %
1,0.7,23412.8,0.0
10,3.4,35076.85,0.49019607843137253
11,3.783333333333333,35094.4,0.0
12,4.1,35077.75,0.40650406504065045
13,4.433333333333334,35070.75,0.0
14,4.7,35073.0,0.0
15,5.066666666666666,35101.85,0.0
16,5.416666666666667,35086.8,0.0
17,5.8,35064.0,0.5747126436781609
18,6.016666666666667,35091.0,0.0
19,6.433333333333334,35070.0,0.2590673575129534
2,0.8833333333333333,35049.4,1.8867924528301887
20,6.7,35088.85,0.4975124378109453
3,1.15,35068.2,1.4492753623188406
4,1.4666666666666666,35055.3,1.1363636363636365
5,1.7666666666666666,35086.0,0.0
6,2.1333333333333333,35075.0,0.0
7,2.433333333333333,35067.0,0.0
8,2.7666666666666666,35235.75,0.0
9,3.1166666666666667,35062.7,0.0
